COUNTRY	PROVINCE	COUNTY	Country_cd	Province_cd	Continent	Region	ACTIVE	PEOPLE_TESTED	CONFIRMED	PEOPLE_HOSPITALIZED	DEATHS	RECOVERED	INCIDENT_RATE	TESTING_RATE	HOSPITALIZATION_RATE	MORTALITY_RATE	LONG	LAT	LAST_REPORTED_FLAG
United States	Louisiana	Allen	US	LA	America	Americas	174	0	184	0	10	0	717.992742	0	0	0	-92.82442028	30.65385745	FALSE
United States	Ohio	Allen	US	OH	America	Americas	174	0	206	0	32	0	201.268185	0	0	0	-84.10802343	40.77285242	FALSE
United States	South Carolina	Allendale	US	SC	America	Americas	31	0	34	0	3	0	391.3443831	0	0	0	-81.35321066	32.98837386	FALSE
United States	Michigan	Alpena	US	MI	America	Americas	85	0	94	0	9	0	330.9276536	0	0	0	-83.62212411	45.03477666	FALSE
United States	California	Alpine	US	CA	America	Americas	2	0	2	0	0	0	177.1479185	0	0	0	-119.8223594	38.59678594	FALSE
United States	California	Amador	US	CA	America	Americas	10	0	10	0	0	0	25.155967	0	0	0	-120.65696	38.44583082	FALSE
United States	Virginia	Amelia	US	VA	America	Americas	24	0	25	0	1	0	190.1863827	0	0	0	-77.98584649	37.34081025	FALSE
United States	Virginia	Amherst	US	VA	America	Americas	27	0	27	0	0	0	85.42952065	0	0	0	-79.14548696	37.60308293	FALSE
United States	Mississippi	Amite	US	MS	America	Americas	55	0	56	0	1	0	455.3956249	0	0	0	-90.80501621	31.17467303	FALSE
United States	Alaska	Anchorage	US	AK	America	Americas	207	0	211	0	4	0	73.26388889	0	0	0	-149.1426986	61.14998174	FALSE
United States	Kansas	Anderson	US	KS	America	Americas	1	0	1	0	0	0	12.72588445	0	0	0	-95.29272815	38.21413251	FALSE
United States	Kentucky	Anderson	US	KY	America	Americas	15	0	16	0	1	0	70.3389458	0	0	0	-84.99171713	38.00671029	FALSE
United States	South Carolina	Anderson	US	SC	America	Americas	218	0	226	0	8	0	111.5729816	0	0	0	-82.63959517	34.51828081	FALSE
United States	Tennessee	Anderson	US	TN	America	Americas	38	0	39	0	1	0	50.66382603	0	0	0	-84.19965764	36.12684348	FALSE
United States	Texas	Anderson	US	TX	America	Americas	66	0	66	0	0	0	114.3154066	0	0	0	-95.65354823	31.81534745	FALSE
United States	Missouri	Andrew	US	MO	America	Americas	30	0	30	0	0	0	169.3766938	0	0	0	-94.80163024	39.98492163	FALSE
United States	Texas	Andrews	US	TX	America	Americas	27	0	27	0	0	0	144.3464314	0	0	0	-102.6376548	32.30468633	FALSE
United States	Maine	Androscoggin	US	ME	America	Americas	267	0	269	0	2	0	248.4368795	0	0	0	-70.20380627	44.1664747	FALSE
United States	Texas	Angelina	US	TX	America	Americas	197	0	201	0	4	0	231.7938073	0	0	0	-94.60901487	31.25457347	FALSE
United States	Maryland	Anne Arundel	US	MD	America	Americas	3476	0	3643	0	167	0	628.934075	0	0	0	-76.60329337	39.00670238	FALSE
United States	Minnesota	Anoka	US	MN	America	Americas	1257	0	1324	0	67	0	370.9504344	0	0	0	-93.24604565	45.27476015	FALSE
United States	North Carolina	Anson	US	NC	America	Americas	63	0	64	0	1	0	261.8015217	0	0	0	-80.09953279	34.97403241	FALSE
United States	Nebraska	Antelope	US	NE	America	Americas	8	0	8	0	0	0	127.0244522	0	0	0	-98.0666283	42.17695516	FALSE
United States	Michigan	Antrim	US	MI	America	Americas	12	0	12	0	0	0	51.44915109	0	0	0	-85.15503082	44.99690221	FALSE
United States	Arizona	Apache	US	AZ	America	Americas	1380	0	1414	0	34	0	1966.975948	0	0	0	-109.4892383	35.39465006	FALSE
United States	Iowa	Appanoose	US	IA	America	Americas	11	0	14	0	3	0	112.6669886	0	0	0	-92.86865906	40.74324454	FALSE
United States	Georgia	Appling	US	GA	America	Americas	138	0	151	0	13	0	821.2770586	0	0	0	-82.28909114	31.74847232	FALSE
United States	Virginia	Appomattox	US	VA	America	Americas	31	0	31	0	0	0	194.8337628	0	0	0	-78.81340003	37.37569884	FALSE
United States	Texas	Aransas	US	TX	America	Americas	5	0	5	0	0	0	21.26754573	0	0	0	-96.9995047	28.10556197	FALSE
United States	Colorado	Arapahoe	US	CO	America	Americas	3900	0	4201	0	301	0	639.8208928	0	0	0	-104.3353617	39.64977461	FALSE
United States	Texas	Archer	US	TX	America	Americas	1	0	1	0	0	0	11.69180405	0	0	0	-98.68754589	33.61569967	FALSE
United States	Colorado	Archuleta	US	CO	America	Americas	8	0	8	0	0	0	57.02473448	0	0	0	-107.0476867	37.19474156	FALSE
United States	Michigan	Arenac	US	MI	America	Americas	32	0	33	0	1	0	221.72949	0	0	0	-83.89277559	44.0636262	FALSE
United States	Arkansas	Arkansas	US	AR	America	Americas	3	0	3	0	0	0	17.15658241	0	0	0	-91.37277296	34.29145151	FALSE
United States	Virginia	Arlington	US	VA	America	Americas	1978	0	2089	0	111	0	882.0226142	0	0	0	-77.10139853	38.8767675	FALSE
United States	Pennsylvania	Armstrong	US	PA	America	Americas	58	0	62	0	4	0	95.77508303	0	0	0	-79.46290811	40.81665618	FALSE
United States	Texas	Armstrong	US	TX	America	Americas	2	0	2	0	0	0	105.9883413	0	0	0	-101.3574874	34.96507426	FALSE
United States	Maine	Aroostook	US	ME	America	Americas	9	0	10	0	1	0	14.91313101	0	0	0	-68.59841248	46.65926321	FALSE
United States	Nebraska	Arthur	US	NE	America	Americas	0	0	0	0	0	0	0	0	0	0	-101.6959559	41.56896142	FALSE
United States	Louisiana	Ascension	US	LA	America	Americas	754	0	810	0	56	0	639.790212	0	0	0	-90.9132841	30.20406249	FALSE
United States	North Carolina	Ashe	US	NC	America	Americas	36	0	36	0	0	0	132.338345	0	0	0	-81.49862729	36.43296207	FALSE
United States	Ohio	Ashland	US	OH	America	Americas	19	0	19	0	0	0	35.52464288	0	0	0	-82.27280781	40.84772277	FALSE
United States	Wisconsin	Ashland	US	WI	America	Americas	2	0	2	0	0	0	12.85181853	0	0	0	-90.67837132	46.31956891	FALSE
United States	Arkansas	Ashley	US	AR	America	Americas	19	0	19	0	0	0	96.6576792	0	0	0	-91.7698471	33.19153461	FALSE
United States	Ohio	Ashtabula	US	OH	America	Americas	290	0	324	0	34	0	333.1927891	0	0	0	-80.74830218	41.70860332	FALSE
United States	Washington	Asotin	US	WA	America	Americas	17	0	19	0	2	0	84.13780887	0	0	0	-117.2022851	46.18894415	FALSE
United States	Louisiana	Assumption	US	LA	America	Americas	235	0	248	0	13	0	1132.885661	0	0	0	-91.06461642	29.89946234	FALSE
United States	Texas	Atascosa	US	TX	America	Americas	33	0	35	0	2	0	68.42218443	0	0	0	-98.52730485	28.89333001	FALSE
